year,winner,runnerup,location
1995,West Indies,Australia,England
1979,West Indies,England,England
1983,India,West Indies,England
1987,Australia,England,India
1992,Pakistan,England,Australia
1996,Sri Lanka,Australia,India
1999,Australia,Pakistan,England
2003,Australia,India,South Africa
2007,Australia,Sri Lanka,WestIndies
2011,India,Sri Lanka,India
2015,Australia,New Zealand,Australia
2019,England,New Zealand,England
